# N2 adsorption data for graphite (OGA) sample at 77 K
# K. Miura et al., Adsorption (2007) 13: 139-147.: DOI 10.1007/s10450-007-9015-7
# Vm=1.30[cm3/g], C-value=849, S=5.66[m2/g]
# relative_pressure_X, V[cm3(STP)/g], theta
3.18E-04, 0.5751, 0.4424
8.44E-03, 1.1729, 0.9022
1.89E-02, 1.2575, 0.9673
3.45E-02, 1.297, 0.9977
4.48E-02, 1.3195, 1.015
6.10E-02, 1.3534, 1.0411
7.62E-02, 1.3771, 1.0593
9.10E-02, 1.4089, 1.0838
0.1151, 1.4527, 1.1175
0.1401, 1.5008, 1.1545
0.1552, 1.5302, 1.1771
0.1703, 1.564, 1.2031
0.1898, 1.6327, 1.2559
0.2098, 1.6927, 1.3021
0.2296, 1.7706, 1.362
0.2589, 1.8838, 1.4491
0.2887, 2.0254, 1.558
0.3091, 2.1184, 1.6295
0.3386, 2.2538, 1.7337
0.3593, 2.3391, 1.7993
0.3917, 2.4621, 1.8939
0.4123, 2.5325, 1.9481
0.4373, 2.6132, 2.0102
0.4621, 2.7014, 2.078
0.4873, 2.7813, 2.1395
0.5121, 2.8635, 2.2027
0.5415, 2.9631, 2.2793
0.562, 3.0482, 2.3448
0.5867, 3.1431, 2.4176
0.6115, 3.2592, 2.5071
0.6413, 3.4144, 2.6265
0.6668, 3.5601, 2.7385
0.6913, 3.7152, 2.8578
0.7161, 3.8901, 2.9924
0.7408, 4.0774, 3.1365
0.7654, 4.2899, 3.2999
0.7899, 4.5215, 3.4781
0.8143, 4.7913, 3.6856
0.8423, 5.1818, 3.986
0.8627, 5.5536, 4.272
0.9009, 6.5602, 5.0463
0.9468, 9.2519, 7.1168
0.9537, 10.121, 7.7854

