# graphite (OGB),  Ar, 77 K, data, t
# K. Miura et al., Adsorption (2007) 13: 139-147.: DOI 10.1007/s10450-007-9015-7
# Vm=V(theta=1) = 1.06 [cm3/g], C-value = 443, S = 3.91 [m2/g]
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 2.076642 [cm3/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 3.91/2.076642 = slope[cm3(STP)/g] * 1.882847
# relative_pressure_X, V[cm3(STP)/g], theta, alpha-s, t[nm]
2.07E-03, 0.6526, 0.6157, 0.314257344, 0.2068752
7.56E-03, 0.8584, 0.8098, 0.413359645, 0.2720928
1.71E-02, 0.9288, 0.8762, 0.447260529, 0.2944032
2.81E-02, 0.9708, 0.9158, 0.467485489, 0.3077088
4.70E-02, 1.0471, 0.9878, 0.504227498, 0.3319008
6.65E-02, 1.0949, 1.0329, 0.527245428, 0.3470544
8.21E-02, 1.1244, 1.0608, 0.541451054, 0.3564288
9.73E-02, 1.1532, 1.0879, 0.555319598, 0.3655344
1.27E-01, 1.1923, 1.1248, 0.574148072, 0.3779328
1.52E-01, 1.2328, 1.163, 0.593650711, 0.390768
0.1821, 1.275, 1.2028, 0.61397198, 0.4041408
0.2212, 1.3369, 1.2612, 0.643779717, 0.4237632
0.2702, 1.4319, 1.3508, 0.689526649, 0.4538688
0.301, 1.5104, 1.4249, 0.727328061, 0.4787664
0.3456, 1.7292, 1.6313, 0.832690469, 0.5481168
0.3675, 1.8922, 1.7851, 0.911182573, 0.5997936
0.4029, 2.0931, 1.9746, 1.007925295, 0.6634656
0.4495, 2.2415, 2.1146, 1.079386818, 0.7105056
0.5004, 2.3767, 2.2422, 1.144491925, 0.7533792
0.5538, 2.5404, 2.3966, 1.223321112, 0.8052576
0.599, 2.7183, 2.5644, 1.308988261, 0.8616384
0.6554, 3.0923, 2.9173, 1.489086708, 0.9802128
0.7076, 3.4078, 3.2149, 1.641014677, 1.0802064
0.7579, 3.7164, 3.506, 1.789619973, 1.178016
0.8059, 4.0776, 3.8468, 1.963554623, 1.2925248
0.8462, 4.7716, 4.5015, 2.297747999, 1.512504
0.5415, 2.9631, 2.2793, 1.426870881, 0.7658448
0.562, 3.0482, 2.3448, 1.467850501, 0.7878528
0.5867, 3.1431, 2.4176, 1.513549278, 0.8123136
0.6115, 3.2592, 2.5071, 1.569456844, 0.8423856
0.6413, 3.4144, 2.6265, 1.644192884, 0.882504
0.6668, 3.5601, 2.7385, 1.714354231, 0.920136
0.6913, 3.7152, 2.8578, 1.789042117, 0.9602208
0.7161, 3.8901, 2.9924, 1.873264626, 1.0054464
0.7408, 4.0774, 3.1365, 1.963458314, 1.053864
0.7654, 4.2899, 3.2999, 2.065786977, 1.1087664
0.7899, 4.5215, 3.4781, 2.177313182, 1.1686416
0.8143, 4.7913, 3.6856, 2.307234468, 1.2383616
0.8423, 5.1818, 3.986, 2.495278435, 1.339296
0.8627, 5.5536, 4.272, 2.67431748, 1.435392
0.9009, 6.5602, 5.0463, 3.159042339, 1.6955568
0.9468, 9.2519, 7.1168, 4.455221458, 2.3912448
0.9537, 10.121, 7.7854, 4.873733653, 2.6158944
0.9384, 15.017, 5.3064, 7.231386055, 1.7829504
0.9551, 17.859, 6.3106, 8.599941637, 2.1203616
