# N2 adsorption data for graphite (OGB) sample at 77 K
# K. Miura et al., Adsorption (2007) 13: 139-147.: DOI 10.1007/s10450-007-9015-7
# Vm=0.90[cm3/g], C-value=2242, S=3.94[m2/g]
# relative_pressure_X, V[cm3(STP)/g], theta
1.50E-03, 0.7262, 0.8069
8.09E-03, 0.8322, 0.9247
1.84E-02, 0.9052, 1.0058
3.39E-02, 0.9224, 1.0249
4.40E-02, 0.9326, 1.0362
5.97E-02, 0.9608, 1.0676
7.48E-02, 0.9713, 1.0792
8.98E-02, 0.9919, 1.1021
0.1124, 1.0187, 1.1319
0.1373, 1.0426, 1.1584
0.1525, 1.0658, 1.1842
0.1674, 1.0824, 1.2027
0.1873, 1.1253, 1.2503
0.2072, 1.1702, 1.3002
0.2273, 1.2207, 1.3563
0.2569, 1.303, 1.4478
0.2867, 1.3975, 1.5528
0.307, 1.4626, 1.6251
0.3368, 1.5556, 1.7284
0.3574, 1.6165, 1.7961
0.3882, 1.693, 1.8811
0.4088, 1.7454, 1.9393
0.4337, 1.799, 1.9989
0.4589, 1.8548, 2.0609
0.4838, 1.8964, 2.1071
0.5087, 1.9584, 2.176
0.5384, 2.0249, 2.2499
0.5588, 2.0812, 2.3124
0.5836, 2.1404, 2.3782
0.6089, 2.2179, 2.4643
0.6432, 2.3344, 2.5938
0.6688, 2.4559, 2.7288
0.6943, 2.5676, 2.8529
0.7188, 2.685, 2.9833
0.7435, 2.814, 3.1267
0.7688, 2.9692, 3.2991
0.7935, 3.1435, 3.4928
0.8177, 3.3297, 3.6997
0.8478, 3.618, 4.02
0.8666, 3.8753, 4.3059
0.9099, 4.7647, 5.2941
0.9592, 7.6331, 8.4812
