# Ar adsorption data for graphite (OGB) sample at 77 K
# K. Miura et al., Adsorption (2007) 13: 139-147.: DOI 10.1007/s10450-007-9015-7
# Vm=1.06[cm3/g], C-value=443, S=3.91[m2/g]
# relative_pressure_X, V[cm3(STP)/g], theta
2.07E-03, 0.6526, 0.6157
7.56E-03, 0.8584, 0.8098
1.71E-02, 0.9288, 0.8762
2.81E-02, 0.9708, 0.9158
4.70E-02, 1.0471, 0.9878
6.65E-02, 1.0949, 1.0329
8.21E-02, 1.1244, 1.0608
9.73E-02, 1.1532, 1.0879
0.1274, 1.1923, 1.1248
0.1522, 1.2328, 1.163
0.1821, 1.275, 1.2028
0.2212, 1.3369, 1.2612
0.2702, 1.4319, 1.3508
0.301, 1.5104, 1.4249
0.3456, 1.7292, 1.6313
0.3675, 1.8922, 1.7851
0.4029, 2.0931, 1.9746
0.4495, 2.2415, 2.1146
0.5004, 2.3767, 2.2422
0.5538, 2.5404, 2.3966
0.599, 2.7183, 2.5644
0.6554, 3.0923, 2.9173
0.7076, 3.4078, 3.2149
0.7579, 3.7164, 3.506
0.8059, 4.0776, 3.8468
0.8462, 4.7716, 4.5015
