# Carbopack F Graphitized Carbon Black, Ar, 77 K 
# L. Gardner et al., J. Phys. Chem. B 105 (2001).
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 3.173 [cm3(STP)/g], S(BET) = 5.88 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 5.88/3.173 = slope[cm3(STP)/g] * 1.853136
# [pyGAPS] BET surface area: a = 6 m2/g, The BET constant is: C = 796, Amount for a monolayer: n = 8e-05 mol/g
#   Amount for a monolayer: n = 8e-05 / (1/1000/22.414) = 8e-05 / 4.461e-5 = 1.79332 [cm3(STP)/g]
# graphitized carbon black (Carbopack F) 
# P/P0, alpha-s, V[cm3(STP)/g], t[nm]
9.56E-04, 0.276, 8.76E-01, 1.64E-01
9.81E-04, 0.286, 9.07E-01, 1.70E-01
1.01E-03, 0.296, 9.39E-01, 1.76E-01
1.04E-03, 0.306, 9.71E-01, 1.82E-01
1.07E-03, 0.316, 1.00E+00, 1.88E-01
1.10E-03, 0.326, 1.03E+00, 1.94E-01
1.14E-03, 0.336, 1.07E+00, 2.00E-01
1.18E-03, 0.345, 1.09E+00, 2.05E-01
1.23E-03, 0.355, 1.13E+00, 2.11E-01
1.29E-03, 0.365, 1.16E+00, 2.17E-01
1.35E-03, 0.375, 1.19E+00, 2.23E-01
1.42E-03, 0.384, 1.22E+00, 2.28E-01
1.51E-03, 0.394, 1.25E+00, 2.34E-01
1.62E-03, 0.404, 1.28E+00, 2.40E-01
1.75E-03, 0.413, 1.31E+00, 2.46E-01
1.91E-03, 0.423, 1.34E+00, 2.51E-01
2.11E-03, 0.432, 1.37E+00, 2.57E-01
2.37E-03, 0.441, 1.40E+00, 2.62E-01
2.69E-03, 0.45, 1.43E+00, 2.68E-01
3.11E-03, 0.459, 1.46E+00, 2.73E-01
3.65E-03, 0.467, 1.48E+00, 2.78E-01
4.32E-03, 0.475, 1.51E+00, 2.82E-01
5.16E-03, 0.482, 1.53E+00, 2.87E-01
6.19E-03, 0.489, 1.55E+00, 2.91E-01
7.57E-03, 0.496, 1.57E+00, 2.95E-01
9.22E-03, 0.503, 1.60E+00, 2.99E-01
0.0111, 0.508, 1.61E+00, 3.02E-01
0.0123, 0.511, 1.62E+00, 3.04E-01
0.0126, 0.512, 1.62E+00, 3.04E-01
0.0151, 0.517, 1.64E+00, 3.07E-01
0.0178, 0.522, 1.66E+00, 3.10E-01
0.0202, 0.526, 1.67E+00, 3.13E-01
0.0215, 0.528, 1.68E+00, 3.14E-01
0.0228, 0.53, 1.68E+00, 3.15E-01
0.0241, 0.532, 1.69E+00, 3.16E-01
0.0247, 0.533, 1.69E+00, 3.17E-01
0.0254, 0.534, 1.69E+00, 3.17E-01
0.0259, 0.535, 1.70E+00, 3.18E-01
0.0276, 0.537, 1.70E+00, 3.19E-01
0.0283, 0.538, 1.71E+00, 3.20E-01
0.0301, 0.541, 1.72E+00, 3.22E-01
0.0309, 0.542, 1.72E+00, 3.22E-01
0.0328, 0.546, 1.73E+00, 3.25E-01
0.0336, 0.547, 1.74E+00, 3.25E-01
0.0354, 0.55, 1.75E+00, 3.27E-01
0.0361, 0.551, 1.75E+00, 3.28E-01
0.0377, 0.554, 1.76E+00, 3.29E-01
0.0384, 0.556, 1.76E+00, 3.31E-01
0.0403, 0.559, 1.77E+00, 3.32E-01
0.0428, 0.563, 1.79E+00, 3.35E-01
0.0454, 0.567, 1.80E+00, 3.37E-01
0.0503, 0.572, 1.81E+00, 3.40E-01
0.0601, 0.579, 1.84E+00, 3.44E-01
0.0708, 0.585, 1.86E+00, 3.48E-01
0.0809, 0.589, 1.87E+00, 3.50E-01
0.091, 0.594, 1.88E+00, 3.53E-01
0.101, 0.598, 1.90E+00, 3.56E-01
0.111, 0.602, 1.91E+00, 3.58E-01
0.121, 0.605, 1.92E+00, 3.60E-01
0.131, 0.609, 1.93E+00, 3.62E-01
0.141, 0.613, 1.95E+00, 3.64E-01
0.151, 0.617, 1.96E+00, 3.67E-01
0.161, 0.621, 1.97E+00, 3.69E-01
0.171, 0.625, 1.98E+00, 3.72E-01
0.181, 0.629, 2.00E+00, 3.74E-01
0.191, 0.634, 2.01E+00, 3.77E-01
0.201, 0.639, 2.03E+00, 3.80E-01
0.211, 0.644, 2.04E+00, 3.83E-01
0.221, 0.649, 2.06E+00, 3.86E-01
0.231, 0.655, 2.08E+00, 3.89E-01
0.241, 0.661, 2.10E+00, 3.93E-01
0.251, 0.667, 2.12E+00, 3.97E-01
0.26, 0.674, 2.14E+00, 4.01E-01
0.27, 0.682, 2.16E+00, 4.05E-01
0.28, 0.69, 2.19E+00, 4.10E-01
0.289, 0.7, 2.22E+00, 4.16E-01
0.299, 0.711, 2.26E+00, 4.23E-01
0.308, 0.724, 2.30E+00, 4.30E-01
0.318, 0.738, 2.34E+00, 4.39E-01
0.327, 0.755, 2.40E+00, 4.49E-01
0.336, 0.776, 2.46E+00, 4.61E-01
0.349, 0.812, 2.58E+00, 4.83E-01
0.36, 0.852, 2.70E+00, 5.07E-01
0.371, 0.895, 2.84E+00, 5.32E-01
0.381, 0.936, 2.97E+00, 5.56E-01
0.39, 0.97, 3.08E+00, 5.77E-01
0.4, 1, 3.17E+00, 5.94E-01
0.41, 1.03, 3.27E+00, 6.12E-01
0.42, 1.05, 3.33E+00, 6.24E-01
0.43, 1.07, 3.40E+00, 6.36E-01
0.44, 1.09, 3.46E+00, 6.48E-01
0.45, 1.1, 3.49E+00, 6.54E-01
0.46, 1.12, 3.55E+00, 6.66E-01
0.47, 1.13, 3.59E+00, 6.72E-01
0.48, 1.14, 3.62E+00, 6.78E-01
0.49, 1.15, 3.65E+00, 6.84E-01
0.5, 1.17, 3.71E+00, 6.96E-01
0.51, 1.18, 3.74E+00, 7.02E-01
0.52, 1.19, 3.78E+00, 7.07E-01
0.53, 1.2, 3.81E+00, 7.13E-01
0.54, 1.21, 3.84E+00, 7.19E-01
0.55, 1.22, 3.87E+00, 7.25E-01
0.56, 1.24, 3.93E+00, 7.37E-01
0.57, 1.25, 3.97E+00, 7.43E-01
0.579, 1.26, 4.00E+00, 7.49E-01
0.59, 1.28, 4.06E+00, 7.61E-01
0.599, 1.3, 4.12E+00, 7.73E-01
0.61, 1.32, 4.19E+00, 7.85E-01
0.62, 1.34, 4.25E+00, 7.97E-01
0.63, 1.36, 4.32E+00, 8.09E-01
0.64, 1.39, 4.41E+00, 8.26E-01
0.65, 1.42, 4.51E+00, 8.44E-01
0.66, 1.44, 4.57E+00, 8.56E-01
0.67, 1.47, 4.66E+00, 8.74E-01
0.68, 1.5, 4.76E+00, 8.92E-01
0.69, 1.53, 4.85E+00, 9.10E-01
0.7, 1.55, 4.92E+00, 9.21E-01
0.71, 1.58, 5.01E+00, 9.39E-01
0.72, 1.6, 5.08E+00, 9.51E-01
0.728, 1.62, 5.14E+00, 9.63E-01
0.741, 1.64, 5.20E+00, 9.75E-01
0.75, 1.67, 5.30E+00, 9.93E-01
0.76, 1.69, 5.36E+00, 1.00E+00
0.77, 1.71, 5.43E+00, 1.02E+00
0.78, 1.73, 5.49E+00, 1.03E+00
0.79, 1.75, 5.55E+00, 1.04E+00
0.8, 1.77, 5.62E+00, 1.05E+00
0.81, 1.79, 5.68E+00, 1.06E+00
0.819, 1.82, 5.77E+00, 1.08E+00
0.829, 1.85, 5.87E+00, 1.10E+00
0.839, 1.88, 5.97E+00, 1.12E+00
0.848, 1.92, 6.09E+00, 1.14E+00
0.854, 1.96, 6.22E+00, 1.17E+00
0.859, 2.02, 6.41E+00, 1.20E+00
0.865, 2.11, 6.70E+00, 1.25E+00
0.872, 2.18, 6.92E+00, 1.30E+00
0.9, 2.34, 7.42E+00, 1.39E+00
0.93, 2.52, 8.00E+00, 1.50E+00
0.937, 2.59, 8.22E+00, 1.54E+00
0.947, 2.72, 8.63E+00, 1.62E+00
0.956, 2.93, 9.30E+00, 1.74E+00
0.97, 3.21, 1.02E+01, 1.91E+00
0.978, 3.39, 1.08E+01, 2.02E+00
0.985, 3.67, 1.16E+01, 2.18E+00
0.991, 3.94, 1.25E+01, 2.34E+00
