# Carbopack F Graphitized Carbon Black, Ar, 77 K 
# L. Gardner et al., J. Phys. Chem. B 105 (2001).
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 3.173 [cm3(STP)/g], S(BET) = 5.88 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 5.88/3.173 = slope[cm3(STP)/g] * 1.853136
# [pyGAPS] BET surface area: a = 6 m2/g, The BET constant is: C = 796, Amount for a monolayer: n = 8e-05 mol/g
#   Amount for a monolayer: n = 8e-05 / (1/1000/22.414) = 8e-05 / 4.461e-5 = 1.79332 [cm3(STP)/g]
# graphitized carbon black (Carbopack F) 
# P/P0, alpha-s, V[cm3(STP)/g], t[nm]
5.85E-05, 6.08E-03, 1.93E-02, 3.61E-03
1.16E-04, 0.0122, 3.87E-02, 7.25E-03
1.70E-04, 0.0184, 5.84E-02, 1.09E-02
2.19E-04, 0.0245, 7.77E-02, 1.46E-02
2.63E-04, 0.0307, 9.74E-02, 1.83E-02
3.04E-04, 0.0368, 1.17E-01, 2.19E-02
3.41E-04, 0.043, 1.36E-01, 2.56E-02
3.75E-04, 0.0492, 1.56E-01, 2.92E-02
4.23E-04, 0.059, 1.87E-01, 3.51E-02
4.66E-04, 0.0688, 2.18E-01, 4.09E-02
5.04E-04, 0.0787, 2.50E-01, 4.68E-02
5.39E-04, 0.0885, 2.81E-01, 5.26E-02
5.70E-04, 0.0984, 3.12E-01, 5.85E-02
5.98E-04, 0.108, 3.43E-01, 6.42E-02
6.30E-04, 0.118, 3.74E-01, 7.02E-02
6.54E-04, 0.128, 4.06E-01, 7.61E-02
6.77E-04, 0.138, 4.38E-01, 8.20E-02
6.98E-04, 0.148, 4.70E-01, 8.80E-02
7.19E-04, 0.158, 5.01E-01, 9.39E-02
7.39E-04, 0.168, 5.33E-01, 9.99E-02
7.58E-04, 0.177, 5.62E-01, 1.05E-01
7.77E-04, 0.187, 5.93E-01, 1.11E-01
7.96E-04, 0.197, 6.25E-01, 1.17E-01
8.14E-04, 0.207, 6.57E-01, 1.23E-01
8.33E-04, 0.217, 6.89E-01, 1.29E-01
8.52E-04, 0.227, 7.20E-01, 1.35E-01
8.72E-04, 0.237, 7.52E-01, 1.41E-01
8.92E-04, 0.247, 7.84E-01, 1.47E-01
9.12E-04, 0.257, 8.15E-01, 1.53E-01
9.34E-04, 0.267, 8.47E-01, 1.59E-01
