# Ar adsorption data for graphite (G25) sample at 77 K
# K. Miura et al., Adsorption (2007) 13: 139-147.: DOI 10.1007/s10450-007-9015-7
# Vm=3.16[cm3/g], C-value=352, S=11.70[m2/g]
# relative_pressure_X, V[cm3(STP)/g], theta
2.98E-04, 0.5361, 0.1697
8.94E-04, 1.1452, 0.3624
1.79E-03, 1.7237, 0.5455
4.63E-03, 2.2388, 0.7085
1.53E-02, 2.6341, 0.8336
2.49E-02, 2.7932, 0.8839
3.64E-02, 2.9302, 0.9273
4.78E-02, 3.0468, 0.9642
6.68E-02, 3.1992, 1.0124
8.44E-02, 3.3134, 1.0485
0.1291, 3.5658, 1.1284
0.1711, 3.7902, 1.1994
0.2079, 3.9899, 1.2626
0.246, 4.2141, 1.3336
0.2776, 4.4141, 1.3969
0.3064, 4.629, 1.4649
0.3452, 5.0009, 1.5826
0.3699, 5.3021, 1.6779
0.4076, 5.6789, 1.7971
0.4532, 6.041, 1.9117
0.5023, 6.414, 2.0297
0.554, 6.8251, 2.1598
0.599, 7.2312, 2.2884
0.6551, 7.9057, 2.5018
0.7053, 8.5676, 2.7113
0.7529, 9.256, 2.9291
0.7963, 10.032, 3.1747
0.8253, 10.736, 3.3975
0.8487, 11.531, 3.6491
0.9088, 14.603, 4.6212
0.9412, 18.041, 5.7092
0.9582, 20.98, 6.6392
