# Ar adsorption data for graphite (OGA) sample at 77 K
# K. Miura et al., Adsorption (2007) 13: 139-147.: DOI 10.1007/s10450-007-9015-7
# Vm=1.42[cm3/g], C-value=653, S=5.27[m2/g]
# relative_pressure_X, V[cm3(STP)/g], theta
1.19E-03, 0.545, 0.3838
4.31E-03, 1.1235, 0.7912
1.50E-02, 1.2831, 0.9036
2.92E-02, 1.3612, 0.9586
4.85E-02, 1.4571, 1.0261
7.10E-02, 1.5123, 1.065
0.1009, 1.5752, 1.1093
0.1369, 1.6367, 1.1526
0.1766, 1.7052, 1.2008
0.2117, 1.7745, 1.2496
0.2511, 1.8685, 1.3158
0.3053, 2.0453, 1.4404
0.3489, 2.3261, 1.6381
0.4008, 2.7684, 1.9496
0.4565, 3.0248, 2.1301
0.5097, 3.2282, 2.2734
0.5627, 3.4524, 2.4313
0.6059, 3.7043, 2.6087
0.6624, 4.2089, 2.964
0.7159, 4.6465, 3.2722
0.7651, 5.0907, 3.585
0.81, 5.6189, 3.957
0.848, 6.3881, 4.4987
0.8664, 7.1563, 5.0396
0.9163, 8.921, 6.2824
0.9487, 12.151, 8.557
0.8712, 5.3473, 5.0446
0.9075, 6.2346, 5.8817
0.9524, 9.5768, 9.0347
